# markers <capture>
# exit: 0
--- stdout ---
#14935  PushMarker       BuildRenderingCommandsDeferred(Culling=On)
#14936  PushMarker       ClearBuffer(InstanceCulling.Compaction.BlockInstanceCounts Size=4bytes)
#14944  PushMarker       ClearIndirectArgInstanceCount
#14952  PushMarker       CullInstances(Generic)
#14963  PushMarker       CullInstances(UnCulled)
#14973  PushMarker       Instance Compaction Phase 1
#14975  PushMarker       Instance Compaction Phase 2
#14978  PushMarker       Atlas0 6144x2048
#14979  PushMarker       ClearShadowDepth
#14983  PushMarker       L_m_MainWorld_New.DirectionalLight_Sun
#14984  PushMarker       WholeScene split0 2040x2040
#14985  PushMarker       ShadowDepthPassParallel
#15019  PushMarker       WholeScene split1 2040x2040
#15020  PushMarker       ShadowDepthPassParallel
#15052  PushMarker       WholeScene split2 2040x2040
#15053  PushMarker       ShadowDepthPassParallel
#15056  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_S_01
#15076  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_04 2 instances
#15081  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Prop_Cruise_B_01
#15086  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Building_Wharf_01
#15091  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_S_02 2 instances
#15096  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_S_02
#15101  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_S_02
#15106  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_L_02
#15111  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_L_02
#15116  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_L_01 6 instances
#15121  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_M_02 3 instances
#15126  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_M_01 2 instances
#15131  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_04
#15136  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_08
#15141  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_07
#15146  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Prop_Arch_C_01
#15151  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Prop_Arch_C_01
#15155  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_Vertical_01
#15160  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Cliff_Vertical_01 2 instances
#15165  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Buildings_Tower_01
#15170  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_06
#15175  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_02
#15180  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Building_Furniturestore_01
#15185  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_10
#15190  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_05
#15195  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_03
#15200  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Mountain_01
#15205  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_05
#15210  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_07
#15215  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_07
#15220  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_01
#15225  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_05
#15239  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08
#15248  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_02
#15257  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_07
#15266  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08
#15275  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08
#15280  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_05
#15289  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_02 2 instances
#15298  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08
#15307  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_07
#15316  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_02
#15325  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08
#15334  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_08
#15343  PushMarker       /Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial SM_HappyLand_Rock_Sea_05
#15357  PushMarker       AccessModePass[Graphics] (Textures: 1, Buffers: 0)
#15362  PushMarker       DispatchToRHI
#15380  PushMarker       LightCompositionTasks_PreLighting
#15381  PushMarker       AmbientOcclusionSetup 684x428
#15402  PushMarker       AmbientOcclusionPS 684x428 SetupAsInput=1 Upsample=0 ShaderQuality=2
#15415  PushMarker       AmbientOcclusionPS 1368x856 SetupAsInput=0 Upsample=1 ShaderQuality=2
#15431  PushMarker       ClearStencil (SceneDepthZ)
#15436  PushMarker       WaitForRayTracingScene
#15438  PushMarker       ClearRenderTarget(DeferredShadowMaskTexture, slice 0, mip 0) 1368x856 ClearAction
#15441  PushMarker       DiffuseIndirectAndAO
#15442  PushMarker       DiffuseIndirectComposite(DiffuseIndirect=Disabled ApplyAOToSceneColor) 1368x856
#15459  PushMarker       ClearTranslucencyLightingVolumeCompute 64
#15468  PushMarker       DitheredLODFadingOutMask
#15471  PushMarker       Lights
#15472  PushMarker       DirectLighting
#15473  PushMarker       InjectTranslucencyLightingVolume
#15474  PushMarker       InjectTranslucencyLightingVolume(View=0)
#15475  PushMarker       InjectTranslucencyLightingVolume(VolumeCascade=0,ShadowMap)
#15495  PushMarker       InjectTranslucencyLightingVolume(VolumeCascade=0,ShadowMap)
#15501  PushMarker       InjectTranslucencyLightingVolume(VolumeCascade=0,ShadowMap)
#15507  PushMarker       InjectTranslucencyLightingVolume(VolumeCascade=1,ShadowMap)
#15516  PushMarker       InjectTranslucencyLightingVolume(VolumeCascade=1,ShadowMap)
#15522  PushMarker       InjectTranslucencyLightingVolume(VolumeCascade=1,ShadowMap)
#15530  PushMarker       UnbatchedLights
#15531  PushMarker       L_m_MainWorld_New.DirectionalLight_Sun
#15532  PushMarker       ClearRenderTarget(ShadowMaskTexture, slice 0, mip 0) 1368x856 ClearAction
#15535  PushMarker       ShadowProjectionOnOpaque
#15536  PushMarker       Shadows
#15537  PushMarker       L_m_MainWorld_New.DirectionalLight_Sun
#15538  PushMarker       WholeScene split2
#15555  PushMarker       WholeScene split1
#15560  PushMarker       WholeScene split0
#15568  PushMarker       LightFunction Material=PreviewShadowIndicatorMaterial
#15587  PushMarker       Light::StandardDeferred
#15607  PushMarker       FilterTranslucentVolume 64x64x64 Cascades:2
#15608  PushMarker       Cascade0
#15630  PushMarker       Cascade1
#15644  PushMarker       ReflectionIndirect
#15645  PushMarker       ReflectionEnvironmentAndSky(1368x856,SubstrateMat=Off)
#15667  PushMarker       SingleLayerWater
#15668  PushMarker       SLW::CopySceneWithoutWater
#15683  PushMarker       SLW::Draw
#15684  PushMarker       SingleLayerWaterParallel
#15685  PushMarker       WaterRenderActorOceanMID_3 None 6 instances
#15713  PushMarker       SLW::Composite 1368x856
#15733  PushMarker       ExponentialHeightFog
#15734  PushMarker       Fog
#15753  PushMarker       SetSceneTexturesUniformBuffer
#15757  PushMarker       FFXSystem::PostRenderOpaque
#15759  PushMarker       GPUParticles_PostRenderOpaque
#15762  PushMarker       AsyncGpuTraceHelper::PostRenderOpaque
#15764  PushMarker       NiagaraUpdateCollisionGroupsMap
#15767  PushMarker       Niagara::PostRenderFinish
#15769  PushMarker       UnsetSceneTexturesUniformBuffer
#15771  PushMarker       FGPUSortManager::OnPostRenderOpaque
#15795  PushMarker       Translucency
#15796  PushMarker       Translucency(BeforeDistortion Parallel) 1368x856
#15806  PushMarker       ClearRenderTarget(Translucency.AfterDOF.Color, slice 0, mip 0) 1368x856 ClearAction
#15810  PushMarker       Translucency(AfterDOF Parallel) 1368x856
#15816  PushMarker       MI_WaterPool_Translucent SM_fx_Water_Cistern_Test_01
#15847  PushMarker       MI_OceanMaterial_Low_Translucent SM_Ocean_Low_Near
#15867  PushMarker       MI_ShuttleTunnel_Glass_Inst SM_HappyLand_Prop_Arch_C_01
#15888  PushMarker       MID_MI_fx_FountainWater_Down01_0 SM_fx_Water_Down
#15910  PushMarker       VirtualTextureFeedbackCopy
#15916  PushMarker       PostProcessing
#15917  PushMarker       ComposeTranslucencyToNewSceneColor(AfterDOF) 1368x856 -> 1368x856
#15941  PushMarker       Downsample(PostProcessing.SceneColor.HalfRes Quality=Bilinear PS) 1368x856 -> 684x428
#15954  PushMarker       SceneDownsample
#15955  PushMarker       Downsample(Scene(1/4) Quality=High PS) 684x428 -> 342x214
#15966  PushMarker       BasicEyeAdaptationSetup (PS) 342x214
#15979  PushMarker       Downsample(Scene(1/8) Quality=High PS) 342x214 -> 171x107
#15994  PushMarker       Downsample(Scene(1/16) Quality=High PS) 171x107 -> 86x54
#16004  PushMarker       Downsample(Scene(1/32) Quality=High PS) 86x54 -> 43x27
#16016  PushMarker       Downsample(Scene(1/64) Quality=High PS) 43x27 -> 22x14
#16029  PushMarker       BasicEyeAdaptation (CS)
#16043  PushMarker       CopyEyeAdaptationToTexture (CS)
#16055  PushMarker       EnqueueCopy(EyeAdaptationBuffer)
#16066  PushMarker       BloomSetup 684x428 (PS)
#16084  PushMarker       SceneDownsample
#16085  PushMarker       Downsample(Scene(1/4) Quality=High PS) 684x428 -> 342x214
#16105  PushMarker       Downsample(Scene(1/8) Quality=High PS) 342x214 -> 171x107
#16115  PushMarker       Downsample(Scene(1/16) Quality=High PS) 171x107 -> 86x54
#16125  PushMarker       Downsample(Scene(1/32) Quality=High PS) 86x54 -> 43x27
#16135  PushMarker       Downsample(Scene(1/64) Quality=High PS) 43x27 -> 22x14
#16146  PushMarker       Bloom
#16147  PushMarker       GaussianBlur.BloomX 22x14 (PS, Static)
#16159  PushMarker       GaussianBlur.BloomY 22x14 (PS, Static)
#16170  PushMarker       GaussianBlur.BloomX 43x27 (PS, Static)
#16183  PushMarker       GaussianBlur.BloomY 43x27 (PS, Static)
#16196  PushMarker       GaussianBlur.BloomX 86x54 (PS, Static)
#16209  PushMarker       GaussianBlur.BloomY 86x54 (PS, Static)
#16221  PushMarker       GaussianBlur.BloomX 171x107 (PS, Static)
#16234  PushMarker       GaussianBlur.BloomY 171x107 (PS, Static)
#16246  PushMarker       GaussianBlur.BloomX 342x214 (PS, Static)
#16259  PushMarker       GaussianBlur.BloomY 342x214 (PS, Static)
#16269  PushMarker       GaussianBlur.BloomX 684x428 (PS, Static)
#16280  PushMarker       GaussianBlur.BloomY 684x428 (PS, Static)
#16293  PushMarker       LensFlares
#16294  PushMarker       LensFlareBlur 342x214
#16316  PushMarker       LensFlareCopyBloom 684x428
#16328  PushMarker       LensFlare0
#16339  PushMarker       LensFlare1
#16344  PushMarker       LensFlare2
#16349  PushMarker       LensFlare3
#16354  PushMarker       LensFlare4
#16359  PushMarker       LensFlare5
#16364  PushMarker       LensFlare6
#16369  PushMarker       LensFlare7
#16375  PushMarker       Tonemap 1368x856 (PS GammaOnly=0)
#16392  PushMarker       FXAA(Quality=4) 1368x856 PS
#16405  PushMarker       Upscale(PrimaryToOutput Method=3) 1368x856 -> 2003x1254
#16420  PushMarker       ReleaseRayTracingResources
#16423  PushMarker       RenderFinish
#16424  PushMarker       EndScene
#16465  PushMarker       ExtractUniformBuffer
#16469  PushMarker       EnqueueCopy(GPUMessageManager.MessageBuffer)
#16480  PushMarker       AccessModePass[Graphics] (Textures: 1, Buffers: 1)
#16486  PushMarker       AccessModePass[AsyncCompute] (Textures: 0, Buffers: 1)
--- stderr ---
